# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  2 11:43:16 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_facility like '%K2%')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_facility,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
BD+20 594,b,BD+20 594 b,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,89.550,0.160,-0.160,0,0.07000,0.03000,-0.03000,0,Mass,0.230,0.010,-0.010,0,,,,0,0,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,1.25,-1.25,0,11.038,0.047,0,V (Johnson),10.864,,0,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,,,,0,K2,4.50,0.08,-0.08,0,,,,0
EPIC 211822797,b,EPIC 211822797 b,21.16986100,0.00172500,-0.00169500,0,0.131000,0.004000,-0.005000,0,0.060000,0.135970,-0.048705,0,89.730,0.190,-0.220,0,,,,0,,0.177,0.010,-0.010,0,,,,0,0,08h41m38.49s,130.410370,+17d38m24.0s,17.640005,187.19,1.37,-1.37,0,15.256,0.010,0,V (Johnson),14.526,,0,4148.21,82.41,-80.21,0,0.66,0.07,-0.07,0,0.57,0.03,-0.03,0,2457165.577000,0.002000,-0.002000,0,K2,,,,0,,,,0
EPIC 211945201,b,EPIC 211945201 b,19.49221000,0.00066600,-0.00065300,0,0.149300,0.001500,-0.001500,0,,,,0,,,,0,,,,0,,0.514,0.027,-0.027,0,,,,0,0,09h06m17.75s,136.573975,+19d24m08.1s,19.402252,182.69,1.29,-1.29,0,10.154,0.056,0,V (Johnson),10.051,,0,6069.00,90.00,-90.00,0,1.17,0.04,-0.04,0,1.39,0.02,-0.02,0,2457158.824770,0.000860,-0.000850,0,K2,4.22,0.02,-0.02,0,,,,0
EPIC 220674823,b,EPIC 220674823 b,0.57133100,0.00002000,-0.00002100,0,0.013400,0.000200,-0.000200,0,,,,0,,,,0,,,,0,,0.162,0.009,-0.009,0,,,,0,0,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,246.10,2.97,-2.97,0,12.102,0.212,0,V (Johnson),11.954,,0,5617.00,86.00,-86.00,0,0.97,0.04,-0.04,0,0.98,0.02,-0.02,0,2457393.437160,0.001610,-0.001580,0,K2,4.45,0.03,-0.03,0,,,,0
EPIC 220674823,c,EPIC 220674823 c,13.33907900,0.00194000,-0.00185900,0,0.109100,0.001400,-0.001500,0,,,,0,,,,0,,,,0,,0.244,0.016,-0.016,0,,,,0,0,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,246.10,2.97,-2.97,0,12.102,0.212,0,V (Johnson),11.954,,0,5617.00,86.00,-86.00,0,0.97,0.04,-0.04,0,0.98,0.02,-0.02,0,2457405.733890,0.004810,-0.004820,0,K2,4.45,0.03,-0.03,0,,,,0
EPIC 246851721,b,EPIC 246851721 b,6.18023500,0.00001400,-0.00001400,0,0.072290,0.000740,-0.000750,0,,,,0,86.210,0.170,-0.170,0,3.00000,1.10000,-1.20000,0,Mass,1.051,0.044,-0.044,0,3.10000,1.30000,-1.30000,0,0,05h15m40.74s,78.919746,+16d16m43.5s,16.278742,336.70,8.40,-8.00,0,11.439,0.053,0,V (Johnson),11.255,,0,6202.00,52.00,-50.00,0,1.32,0.04,-0.04,0,1.59,0.03,-0.03,0,2457865.110320,0.000100,-0.000100,0,K2,4.16,0.02,-0.02,0,0.526,0.025,-0.024,0
GJ 9827,b,GJ 9827 b,1.20898020,0.00000840,-0.00000810,0,0.018880,0.000300,-0.000310,0,,,,0,85.730,1.200,-0.960,0,0.01076,0.00378,-0.00239,0,Mass,0.145,0.010,-0.010,0,4.50000,1.50000,-0.98000,0,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.32,1.62,-1.62,0,10.250,0.138,0,V (Johnson),9.838,,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0,0.61,0.03,-0.03,0,2457738.825880,0.000300,-0.000310,0,K2,4.65,0.06,-0.05,0,,,,0
GJ 9827,c,GJ 9827 c,3.64808300,0.00006000,-0.00005800,0,0.039420,0.000620,-0.000640,0,,,,0,88.050,0.640,-0.480,0,0.00761,0.00236,-0.00154,0,Mass,0.113,0.008,-0.008,0,6.40000,2.00000,-1.10000,0,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.32,1.62,-1.62,0,10.250,0.138,0,V (Johnson),9.838,,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0,0.61,0.03,-0.03,0,2457742.199440,0.000630,-0.000680,0,K2,4.65,0.06,-0.05,0,,,,0
GJ 9827,d,GJ 9827 d,6.20146700,0.00006200,-0.00006100,0,0.056150,0.000890,-0.000910,0,,,,0,87.390,0.200,-0.180,0,0.01636,0.00566,-0.00378,0,Mass,0.185,0.012,-0.012,0,3.23000,1.10000,-0.72000,0,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.32,1.62,-1.62,0,10.250,0.138,0,V (Johnson),9.838,,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0,0.61,0.03,-0.03,0,2457740.961100,0.000440,-0.000440,0,K2,4.65,0.06,-0.05,0,,,,0
HD 106315,b,HD 106315 b,9.55804000,0.00165000,-0.00170000,0,0.090500,0.001000,-0.001000,0,,,,0,,,,0,,,,0,,0.207,0.012,-0.007,0,,,,0,0,12h13m53.39s,183.472473,-00d23m36.5s,-0.393484,109.70,0.70,-0.70,0,8.951,0.018,0,V (Johnson),8.888,,0,6277.00,52.00,-51.00,0,1.08,0.03,-0.04,0,1.29,0.02,-0.02,0,2457586.526700,0.006700,-0.006800,0,K2,4.25,0.02,-0.02,0,,,,0
